covered,filled,won,day,size,entry,maker_L,pnl_maker,pnl_paper
True,True,1.0,2026-05-20,1.56,0.505,0.495,0.505,0.4770018
True,True,1.0,2026-05-20,3.98,0.465,0.455,0.5449999999999999,0.5170881999999999
True,False,1.0,2026-05-20,1.0,0.525,0.515,,0.457045
True,False,1.0,2026-05-20,1.78,0.555,0.545,,0.4272178
True,True,1.0,2026-05-20,1.31,0.535,0.525,0.475,0.4470882
True,True,1.0,2026-05-20,5.0,0.435,0.425,0.575,0.5473041999999999
True,False,1.0,2026-05-20,1.46,0.535,0.525,,0.4470882
True,False,0.0,2026-05-20,3.44,0.485,0.475,,-0.5029838
True,False,0.0,2026-05-20,5.0,0.385,0.345,,-0.4020478
True,False,0.0,2026-05-20,3.03,0.415,0.28500000000000003,,-0.43247979999999997
True,True,1.0,2026-05-20,5.0,0.405,0.395,0.605,0.5776498
